id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51579900,★MODERN 1BR GREAT Location Downtown! W/D Parking!★,47625981,Linda,,FOURTH WARD,42.65856,-73.74866,Entire home/apt,115,1,63,2023-10-01,2.07,15,358,22,
51592836,Lovely 1 Bedroom Unit In Historic Brownstone!,60293220,David,,THIRD WARD,42.65812,-73.74941,Entire home/apt,75,3,68,2023-12-18,2.38,3,348,26,
51710034,Empire Plaza View I,392074908,Jerry,,SIXTH WARD,42.65269,-73.76076,Entire home/apt,89,2,32,2023-11-12,1.07,5,195,11,
51960331,"Tuscan Garden Apt at Café Capriccio Albany, NY",418024477,Marlene,,SECOND WARD,42.64684,-73.75614,Entire home/apt,125,1,77,2023-08-20,2.63,1,156,13,
52042995,A-Room for students & professionals close to all.,160832560,Luke,,FIFTEENTH WARD,42.67643,-73.82903,Private room,40,2,21,2023-11-12,0.78,1,322,8,
52152157,"Modern space, everything you could want!",152762198,Allen,,FIRST WARD,42.63066,-73.77357,Entire home/apt,99,3,48,2023-12-17,1.65,8,156,14,
52225409,3 bedroom single family home w/ off street parking,207800855,Iris,,TWELFTH WARD,42.68553,-73.79716,Entire home/apt,87,1,41,2023-12-30,1.48,3,0,27,
52241973,Garden Apartment in Historic Center Square Home,35465673,Jason,,SIXTH WARD,42.65641,-73.76413,Entire home/apt,87,1,197,2024-01-31,6.94,1,0,74,
52301345,Washington Park Brownstone-Large Luxury Bedroom 1,49100926,Clyde,,SIXTH WARD,42.65934,-73.76966,Private room,100,2,4,2022-08-16,0.17,4,362,0,
52359404,3 bedroom quiet neighborhood w/ off street parking,207800855,Iris,,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,93,1,77,2024-01-03,2.69,3,354,37,
52360097,Empire Plaza View II,392074908,Jerry,,SIXTH WARD,42.65386,-73.75958,Entire home/apt,88,2,64,2024-01-12,2.20,5,0,9,
52569714,* Swanky Triplex in Historic building w/parking *,232967878,Diana,,SECOND WARD,42.64186,-73.75868,Entire home/apt,135,1,51,2023-12-03,1.78,19,81,16,
